./histogram --array-len 1000000 --nb-bins 100 --nb-repeat 10
array_len,nb_bins,nb_repeat,rep,timing,check_status
1000000,100,10,0,3.365373e-02,0
1000000,100,10,1,3.242007e-02,0
1000000,100,10,2,3.332878e-02,0
1000000,100,10,3,3.279597e-02,0
1000000,100,10,4,3.321274e-02,0
1000000,100,10,5,3.278594e-02,0
1000000,100,10,6,3.421166e-02,0
1000000,100,10,7,3.280029e-02,0
1000000,100,10,8,3.277370e-02,0
1000000,100,10,9,3.282492e-02,0


./histogram_OpenMP --array-len 1000000 --nb-bins 100 --nb-repeat 10
array_len,nb_bins,nb_repeat,rep,timing,check_status
1000000,100,10,0,3.114591e-02,0
1000000,100,10,1,2.342296e-02,0
1000000,100,10,2,2.854665e-02,0
1000000,100,10,3,2.321701e-02,0
1000000,100,10,4,2.300884e-02,0
1000000,100,10,5,2.374678e-02,0
1000000,100,10,6,2.317365e-02,0
1000000,100,10,7,2.300870e-02,0
1000000,100,10,8,2.304054e-02,0
1000000,100,10,9,2.333927e-02,0
